epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.123,1.89222,3.17469,1.81271,0.22031,0.33451,0.27744,0.12956,1.85608,3.38355,1.86318,0.000219202,0.000219202,0.000219202
2,41.4839,1.79321,2.00373,1.69804,0.50695,0.36655,0.39068,0.18136,1.91011,2.25748,1.9406,0.000437164,0.000437164,0.000437164
3,64.5542,1.80794,1.81921,1.69438,0.599,0.42609,0.43697,0.19622,1.93535,2.02323,1.9413,0.000650724,0.000650724,0.000650724
4,83.357,1.75472,1.70757,1.66285,0.62049,0.39828,0.43052,0.20486,1.86879,1.9095,1.88525,0.00064719,0.00064719,0.00064719
5,110.092,1.75709,1.65203,1.65829,0.67809,0.42703,0.45066,0.2121,1.94994,1.89991,1.9311,0.000640587,0.000640587,0.000640587
6,126.98,1.71483,1.61299,1.63481,0.63191,0.44725,0.46963,0.20985,1.87725,1.79632,1.88424,0.000633983,0.000633983,0.000633983
7,144.061,1.69311,1.54801,1.62795,0.61723,0.43927,0.47486,0.2201,1.87505,1.71193,1.86824,0.00062738,0.00062738,0.00062738
8,161.793,1.6973,1.50688,1.62026,0.74072,0.43711,0.48531,0.23032,1.84507,1.65387,1.84931,0.000620777,0.000620777,0.000620777
9,179.375,1.67384,1.44592,1.59177,0.65931,0.48969,0.49656,0.22823,1.87264,1.60638,1.86165,0.000614174,0.000614174,0.000614174
10,196.237,1.66542,1.40909,1.58761,0.55304,0.45587,0.4798,0.2277,1.84726,1.57556,1.82275,0.00060757,0.00060757,0.00060757
11,213.18,1.66062,1.39044,1.58522,0.6309,0.45687,0.48225,0.23866,1.82255,1.51656,1.82547,0.000600967,0.000600967,0.000600967
12,230.181,1.68388,1.38386,1.59496,0.79529,0.46257,0.51365,0.24349,1.85214,1.48253,1.84534,0.000594364,0.000594364,0.000594364
13,247.69,1.63734,1.31888,1.56652,0.75723,0.45673,0.48301,0.22986,1.83827,1.54372,1.83036,0.00058776,0.00058776,0.00058776
14,264.915,1.63796,1.31794,1.56227,0.75522,0.43189,0.47874,0.23033,1.83475,1.44498,1.8437,0.000581157,0.000581157,0.000581157
15,281.756,1.61393,1.27676,1.55361,0.71269,0.47188,0.50248,0.23765,1.8443,1.40904,1.85836,0.000574554,0.000574554,0.000574554
16,298.548,1.60197,1.26632,1.55696,0.68027,0.4975,0.51428,0.24452,1.84103,1.43072,1.84069,0.00056795,0.00056795,0.00056795
17,315.791,1.61931,1.25503,1.55146,0.69959,0.46639,0.51085,0.24304,1.84847,1.40388,1.8509,0.000561347,0.000561347,0.000561347
18,333.226,1.58362,1.23688,1.54622,0.56503,0.45674,0.49441,0.23968,1.84501,1.46729,1.82941,0.000554744,0.000554744,0.000554744
19,350.949,1.60929,1.2382,1.54229,0.66367,0.50238,0.4998,0.24133,1.82541,1.37963,1.8172,0.000548141,0.000548141,0.000548141
20,368.408,1.58446,1.19617,1.53081,0.626,0.51171,0.52398,0.24865,1.85613,1.32623,1.86494,0.000541537,0.000541537,0.000541537
21,386.03,1.56819,1.16684,1.52294,0.74824,0.44731,0.51058,0.25168,1.80634,1.32287,1.80289,0.000534934,0.000534934,0.000534934
22,403.525,1.59469,1.20058,1.54018,0.7402,0.46964,0.52038,0.25205,1.82637,1.32211,1.83033,0.000528331,0.000528331,0.000528331
23,420.969,1.57581,1.17533,1.52665,0.6344,0.49955,0.52388,0.25179,1.83674,1.30573,1.83306,0.000521727,0.000521727,0.000521727
24,438.583,1.56359,1.16134,1.52491,0.65011,0.49787,0.53327,0.25005,1.82173,1.31308,1.81928,0.000515124,0.000515124,0.000515124
25,455.35,1.56452,1.1529,1.5259,0.55639,0.49423,0.52735,0.25105,1.78918,1.28878,1.80783,0.000508521,0.000508521,0.000508521
26,472.016,1.54371,1.12015,1.49776,0.57216,0.52543,0.52907,0.2562,1.81171,1.263,1.83779,0.000501917,0.000501917,0.000501917
27,488.934,1.54997,1.13485,1.51986,0.76444,0.49147,0.5478,0.26085,1.78937,1.27076,1.808,0.000495314,0.000495314,0.000495314
28,506.396,1.52534,1.10262,1.49234,0.70445,0.52672,0.53962,0.25318,1.84604,1.26359,1.84152,0.000488711,0.000488711,0.000488711
29,523.977,1.51782,1.08965,1.49803,0.77595,0.47904,0.53996,0.2585,1.79367,1.23263,1.78762,0.000482108,0.000482108,0.000482108
30,540.709,1.53499,1.09371,1.48957,0.77886,0.48336,0.54135,0.26698,1.78483,1.20537,1.81636,0.000475504,0.000475504,0.000475504
31,557.658,1.53493,1.10552,1.50263,0.81254,0.49422,0.5504,0.26755,1.79479,1.22181,1.78978,0.000468901,0.000468901,0.000468901
32,574.506,1.49301,1.05719,1.47284,0.8049,0.47446,0.53393,0.2571,1.80164,1.25766,1.81045,0.000462298,0.000462298,0.000462298
33,591.591,1.51494,1.06459,1.46838,0.62951,0.50544,0.52994,0.26151,1.79151,1.21115,1.80835,0.000455694,0.000455694,0.000455694
34,609.107,1.497,1.05451,1.48146,0.6469,0.48575,0.55331,0.26592,1.82143,1.20901,1.83396,0.000449091,0.000449091,0.000449091
35,626.337,1.49227,1.03179,1.46248,0.48771,0.5345,0.54052,0.26707,1.80523,1.21997,1.81288,0.000442488,0.000442488,0.000442488
36,643.161,1.47772,1.01535,1.45531,0.67682,0.52128,0.56541,0.27195,1.79354,1.19548,1.80492,0.000435884,0.000435884,0.000435884
