epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.171,1.89749,3.19235,1.84198,0.23935,0.34932,0.27445,0.12613,1.88063,3.35257,1.89686,0.000219202,0.000219202,0.000219202
2,34.4414,1.79426,1.95133,1.66904,0.48156,0.38416,0.39751,0.18719,1.90411,2.11785,1.95605,0.000412394,0.000412394,0.000412394
3,48.5898,1.76412,1.78079,1.67556,0.56468,0.40628,0.43092,0.19594,1.91358,1.99266,1.89525,0.000576238,0.000576238,0.000576238
4,60.6686,1.73979,1.70271,1.64693,0.56244,0.4537,0.44861,0.20966,1.88659,1.89051,1.87683,0.000534934,0.000534934,0.000534934
5,71.0897,1.69322,1.56656,1.60462,0.58729,0.44002,0.47026,0.2252,1.87327,1.76093,1.8723,0.000490912,0.000490912,0.000490912
6,102.364,1.71035,1.65716,1.73119,0.73917,0.40813,0.47223,0.21943,1.80385,1.80089,1.81281,0.00044689,0.00044689,0.00044689
7,112.01,1.67143,1.56763,1.67598,0.6264,0.47755,0.50308,0.2387,1.84271,1.67122,1.82728,0.000402868,0.000402868,0.000402868
8,121.271,1.65616,1.49762,1.68302,0.72857,0.44758,0.51233,0.24427,1.78572,1.58604,1.77803,0.000358846,0.000358846,0.000358846
9,131.533,1.63354,1.43089,1.65349,0.74998,0.46975,0.50941,0.24736,1.81583,1.56525,1.80427,0.000314824,0.000314824,0.000314824
10,141.036,1.60585,1.38329,1.6323,0.55735,0.52411,0.53922,0.26005,1.79946,1.50663,1.8057,0.000270802,0.000270802,0.000270802
11,149.968,1.58693,1.34355,1.61889,0.60644,0.49901,0.53672,0.26312,1.74097,1.44109,1.75157,0.00022678,0.00022678,0.00022678
12,159.037,1.55572,1.28808,1.59093,0.63182,0.52293,0.54344,0.27369,1.72784,1.43696,1.73521,0.000182758,0.000182758,0.000182758
13,173.607,1.53315,1.26243,1.58311,0.81017,0.50643,0.56595,0.28278,1.71566,1.39647,1.71258,0.000138736,0.000138736,0.000138736
14,184.906,1.50585,1.22239,1.55559,0.63966,0.54364,0.5641,0.27894,1.70493,1.36704,1.71059,9.4714e-05,9.4714e-05,9.4714e-05
15,202.959,1.50031,1.20179,1.54294,0.74284,0.54511,0.57392,0.28716,1.70372,1.34725,1.70932,5.0692e-05,5.0692e-05,5.0692e-05
